"C:\Users\Knopf Lab\Documents\Michelle\07122023\071223_17.4wt%GLY_S1_2min_2.tif"
"Item" , "Value" , "Units"
"Object Count" , 262 , "Objects"
"Selected Area" , 355926 , "microns"
"Total Object Area" , 148730 , "microns"
"Percent Object Area" , 41.7867 , "%"
"Summary Average Gray" , 47737.1 , "GrayValues"
"Summary Total Gray" , 8.83311e+09 , "GrayValues"
"Summary Min Gray" , 8416 , "GrayValues"
"Summary Max Gray" , 65520 , "GrayValues"

"Object Number" , "Units" , "Area" , "Perimeter" , "Shape Factor" , "Centroid X" , "Centroid Y" , "Hole Count" , "Diameter" , "Orientation" , "Enclosure Left" , "Enclosure Top" , "Enclosure Right" , "Enclosure Bottom" , "Min Gray" , "Max Gray" , "Total Gray" , "Average Gray" , "Bin Classification" , "Diameter X1" , "Diameter Y1" , "Diameter X2" , "Diameter Y2" , "Weighted Centroid X" , "Weighted Centroid Y" , "Minimum Radius" , "Minimum Radius X" , "Minimum Radius Y" , "Maximum Radius" , "Maximum Radius X" , "Maximum Radius Y" , "Weighted Minimum Radius" , "Weighted Minimum Radius X" , "Weighted Minimum Radius Y" , "Weighted Maximum Radius" , "Weighted Maximum Radius X" , "Weighted Maximum Radius Y" , "Minor Axis Diameter" , "Minor Axis Diameter X1" , "Minor Axis Diameter Y1" , "Minor Axis Diameter X2" , "Minor Axis Diameter Y2" , "Equivalent Circle Diameter" , "Equivalent Sphere Volume" , "Thread Length" , "Thread Width" , "Elongation" , "Roundness"
32 , "microns" , 79.626 , 34.5169 , 0.839849 , 290.358 , 38.6972 , 0 , 11.1439 , 161.437 , 285 , 33 , 296 , 44 , 32080 , 65520 , 5.55243e+06 , 50939.7 , "Default Bin" , 295 , 42 , 284 , 38 , 290.424 , 38.7299 , 4.05209 , 291 , 34 , 5.03586 , 296 , 37 , 4.07251 , 291 , 34 , 5.04621 , 289 , 33 , 10.292 , 287 , 43 , 291 , 33 , 10.0689 , 534.498 , 11.1439 , 11.1439 , 1.08278 , 1.19069
33 , "microns" , 63.5547 , 31.0981 , 0.825828 , 960.655 , 37.8046 , 0 , 9.44048 , 50.6983 , 956 , 33 , 966 , 43 , 25216 , 50960 , 3.5164e+06 , 40418.4 , "Default Bin" , 956 , 40 , 962 , 32 , 960.658 , 37.852 , 3.76553 , 962 , 42 , 4.57128 , 966 , 38 , 3.72618 , 962 , 42 , 4.56751 , 966 , 38 , 9.44048 , 633 , 0 , 641 , 0 , 8.99557 , 381.141 , 9.44048 , 9.44048 , 1 , 1.21091
34 , "microns" , 213.31 , 55.4445 , 0.871975 , 1016.15 , 41.8116 , 0 , 17.1154 , 54.7675 , 1007 , 33 , 1025 , 51 , 24912 , 52816 , 1.26443e+07 , 43302.2 , "Default Bin" , 1009 , 48 , 1020 , 32 , 1016.13 , 41.8752 , 7.21312 , 1008 , 44 , 8.34095 , 1022 , 34 , 7.18054 , 1008 , 44 , 8.396 , 1022 , 34 , 17.1154 , 1009 , 36 , 1025 , 47 , 16.4801 , 2343.59 , 17.1154 , 17.1154 , 1 , 1.14682
35 , "microns" , 201.622 , 54.4432 , 0.854793 , 365.917 , 46.0906 , 0 , 17.9691 , 137.368 , 357 , 37 , 375 , 55 , 31520 , 65520 , 1.51795e+07 , 54998.2 , "Default Bin" , 372 , 54 , 357 , 40 , 366.048 , 46.1444 , 6.26728 , 370 , 40 , 8.77562 , 357 , 41 , 6.24396 , 370 , 40 , 8.89621 , 357 , 41 , 14.555 , 360 , 52 , 371 , 40 , 16.0223 , 2153.62 , 17.9691 , 17.9691 , 1.23456 , 1.16987
36 , "microns" , 71.5904 , 32.0994 , 0.87311 , 875.959 , 42.0408 , 0 , 9.44048 , 45 , 871 , 37 , 881 , 47 , 28096 , 58208 , 4.29725e+06 , 43849.5 , "Default Bin" , 871 , 44 , 878 , 37 , 875.99 , 42.0996 , 4.22467 , 873 , 46 , 4.78558 , 872 , 46 , 4.18835 , 876 , 47 , 4.76877 , 872 , 46 , 9.44048 , 644 , 0 , 651 , 0 , 9.54734 , 455.665 , 9.44048 , 9.44048 , 1 , 1.14533
37 , "microns" , 179.706 , 50.817 , 0.874492 , 309.008 , 46.6138 , 0 , 16.2618 , 58.7617 , 301 , 38 , 317 , 55 , 30224 , 65520 , 1.32953e+07 , 54046.1 , "Default Bin" , 303 , 53 , 312 , 38 , 309.12 , 46.6409 , 6.73008 , 307 , 39 , 7.66382 , 316 , 41 , 6.74205 , 317 , 47 , 7.66236 , 304 , 54 , 15.4083 , 302 , 42 , 317 , 51 , 15.1264 , 1812.21 , 16.2618 , 16.2618 , 1.05539 , 1.14352
38 , "microns" , 62.0937 , 30.1827 , 0.856529 , 738.471 , 44.3882 , 0 , 10.292 , 59.7177 , 734 , 40 , 743 , 49 , 27536 , 60592 , 3.85653e+06 , 45370.9 , "Default Bin" , 736 , 49 , 742 , 40 , 738.558 , 44.4407 , 3.71242 , 735 , 47 , 4.47166 , 736 , 49 , 3.66632 , 742 , 47 , 4.46803 , 736 , 49 , 8.58964 , 406 , 0 , 413 , 0 , 8.89158 , 368.074 , 10.292 , 10.292 , 1.19818 , 1.1675
39 , "microns" , 111.038 , 46.8975 , 0.634428 , 117.178 , 47.1711 , 0 , 14.555 , 19.0396 , 109 , 41 , 124 , 53 , 27072 , 65520 , 6.94995e+06 , 45723.4 , "Default Bin" , 109 , 50 , 124 , 45 , 117.217 , 47.2283 , 4.79562 , 115 , 42 , 7.39584 , 109 , 50 , 4.8358 , 113 , 51 , 7.41215 , 109 , 50 , 11.9963 , 123 , 1 , 127 , 13 , 11.8903 , 880.181 , 16.8647 , 6.58406 , 1.21329 , 1.57622
40 , "microns" , 81.8175 , 34.5169 , 0.862964 , 575.705 , 47.6696 , 0 , 10.292 , 24.9106 , 570 , 42 , 581 , 53 , 32080 , 65232 , 5.7432e+06 , 51278.6 , "Default Bin" , 570 , 48 , 580 , 43 , 575.827 , 47.6839 , 4.24897 , 574 , 43 , 5.08089 , 570 , 46 , 4.29712 , 574 , 43 , 5.18413 , 570 , 46 , 10.292 , 539 , 0 , 544 , 0 , 10.2065 , 556.716 , 10.292 , 10.292 , 1 , 1.1588
41 , "microns" , 138.067 , 45.6888 , 0.831154 , 248.82 , 51.6138 , 0 , 13.7019 , 172.239 , 241 , 44 , 256 , 59 , 27152 , 65520 , 9.8381e+06 , 52053.4 , "Default Bin" , 255 , 56 , 240 , 54 , 248.924 , 51.6527 , 5.67568 , 247 , 58 , 6.70441 , 241 , 51 , 5.66884 , 247 , 58 , 6.7957 , 241 , 51 , 13.7019 , 250 , 59 , 252 , 44 , 13.2587 , 1220.39 , 13.7019 , 13.7019 , 1 , 1.20315
